run_id,timestamp_utc,source_file,ingestion_method,file_size_bytes,records_read,expected_records,structure_detected,chunk_size,chunks_processed,processing_seconds,status,overall_run_status,error_message
b47ef36f-139a-457d-84cd-4cb0f62a9cce,2026-08-20T16:09:54.108168+00:00,users_data.csv,csv_full,164831,2000,2000,"[""id"", ""current_age"", ""retirement_age"", ""birth_year"", ""birth_month"", ""gender"", ""address"", ""latitude"", ""longitude"", ""per_capita_income"", ""yearly_income"", ""total_debt"", ""credit_score"", ""num_credit_cards""]",,1,0.007164,PASS,PASS,
b47ef36f-139a-457d-84cd-4cb0f62a9cce,2026-08-20T16:09:54.108168+00:00,cards_data.csv,csv_full,509860,6146,6146,"[""id"", ""client_id"", ""card_brand"", ""card_type"", ""card_number"", ""expires"", ""cvv"", ""has_chip"", ""num_cards_issued"", ""credit_limit"", ""acct_open_date"", ""year_pin_last_changed"", ""card_on_dark_web""]",,1,0.005235,PASS,PASS,
b47ef36f-139a-457d-84cd-4cb0f62a9cce,2026-08-20T16:09:54.108168+00:00,transactions_data.csv,csv_chunked,1258531040,13305915,13305915,"[""id"", ""date"", ""client_id"", ""card_id"", ""amount"", ""use_chip"", ""merchant_id"", ""merchant_city"", ""merchant_state"", ""zip"", ""mcc"", ""errors""]",100000,134,8.105040,PASS,PASS,
b47ef36f-139a-457d-84cd-4cb0f62a9cce,2026-08-20T16:09:54.108168+00:00,mcc_codes.json,json_mapping,4716,109,109,JSON key-value mapping,,1,0.000359,PASS,PASS,
b47ef36f-139a-457d-84cd-4cb0f62a9cce,2026-08-20T16:09:54.108168+00:00,train_fraud_labels.json,json_stream,159083088,8914963,8914963,Streaming JSON mapping at 'target',,,1.274849,PASS,PASS,
